id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1349563444375265281,1349563444375265281,2021-01-14 04:46:13 CET,2021-01-14,04:46:13,+0100,899671109393682432,austinfc,Austin FC,,"Let’s goooooo, @xbleu7!",en,"[{'screen_name': 'xbleu7', 'name': 'john', 'id': '777715131480276992'}]",[],[],1,4,20,[],[],https://twitter.com/AustinFC/status/1349563444375265281,False,https://twitter.com/emls/status/1349560543900819458,0,,,,,,,,[],,,,
1349562151543988224,1349562151543988224,2021-01-14 04:41:05 CET,2021-01-14,04:41:05,+0100,899671109393682432,austinfc,Austin FC,,Two more big wins for @xbleu7 tonight means we’re IN! We’ll see you at the @eMLS League Series One Tournament this weekend. Let’s do this! 🌳  https://t.co/S6bNhH1otv,en,"[{'screen_name': 'xbleu7', 'name': 'john', 'id': '777715131480276992'}, {'screen_name': 'emls', 'name': '🎮 major league soccer', 'id': '922506058865704960'}]",[],['https://pbs.twimg.com/media/ErqbgoTXEAEvyg0.jpg'],0,3,38,[],[],https://twitter.com/AustinFC/status/1349562151543988224,False,,1,https://pbs.twimg.com/media/ErqbgoTXEAEvyg0.jpg,,,,,,,[],,,,
1349435267581681674,1349435267581681674,2021-01-13 20:16:53 CET,2021-01-13,20:16:53,+0100,899671109393682432,austinfc,Austin FC,,Coming in March to #SXSW. Don't miss it!,en,[],[],[],0,7,84,['sxsw'],[],https://twitter.com/AustinFC/status/1349435267581681674,False,https://twitter.com/sxsw/status/1349423593621516292,0,,,,,,,,[],,,,
1349385723619643393,1349385723619643393,2021-01-13 17:00:01 CET,2021-01-13,17:00:01,+0100,899671109393682432,austinfc,Austin FC,,You make us who we are.  You make our city legendary.  🌳 »  https://t.co/xf7V7whn5m  https://t.co/t0YpPiDrKF,en,[],['http://thelegendsjersey.com'],[],26,49,276,[],[],https://twitter.com/AustinFC/status/1349385723619643393,False,,1,https://pbs.twimg.com/media/Ernq58rW8AI5Yid.jpg,,,,,,,[],,,,
1349367606277525507,1349367606277525507,2021-01-13 15:48:02 CET,2021-01-13,15:48:02,+0100,899671109393682432,austinfc,Austin FC,,Back on top! One more round of @eMLS qualifiers tonight. Top 8 will then advance to the League Series One Tournament this weekend.,en,"[{'screen_name': 'emls', 'name': '🎮 major league soccer', 'id': '922506058865704960'}]",[],[],0,3,28,[],[],https://twitter.com/AustinFC/status/1349367606277525507,False,,0,,,,,,,,[],,,,
1349200750518423571,1349200750518423571,2021-01-13 04:45:00 CET,2021-01-13,04:45:00,+0100,899671109393682432,austinfc,Austin FC,,Four straight dubs for @Xbleu7! Our boy is on 🔥. Final night of @eMLS League Series One Qualifiers tomorrow!  https://t.co/dzZwx1a7Ou,en,"[{'screen_name': 'xbleu7', 'name': 'john', 'id': '777715131480276992'}, {'screen_name': 'emls', 'name': '🎮 major league soccer', 'id': '922506058865704960'}]",[],['https://pbs.twimg.com/media/ErlR0XeW4AAngjA.jpg'],2,1,84,[],[],https://twitter.com/AustinFC/status/1349200750518423571,False,,1,https://pbs.twimg.com/media/ErlR0XeW4AAngjA.jpg,,,,,,,[],,,,
1349178046834683905,1349178046834683905,2021-01-13 03:14:47 CET,2021-01-13,03:14:47,+0100,899671109393682432,austinfc,Austin FC,,Tonight’s @eMLS League Series One qualifiers are off to a strong start! @xbleu7 with a 6-1 win against Inter Miami. 👏  https://t.co/gO9UgDVmog,en,"[{'screen_name': 'emls', 'name': '🎮 major league soccer', 'id': '922506058865704960'}, {'screen_name': 'xbleu7', 'name': 'john', 'id': '777715131480276992'}]",[],[],2,9,81,[],[],https://twitter.com/AustinFC/status/1349178046834683905,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1349177908091355138/pu/img/a5EPF9NKq14XZx_B.jpg,,,,,,,[],,,,
1349150455931265031,1349150455931265031,2021-01-13 01:25:09 CET,2021-01-13,01:25:09,+0100,899671109393682432,austinfc,Austin FC,,Is that... the supporters’ section?!  Hope y’all are ready!  https://t.co/BA0dT0vIf6,en,[],[],['https://pbs.twimg.com/media/ErklMEZW4AI77wX.jpg'],16,32,425,[],[],https://twitter.com/AustinFC/status/1349150455931265031,False,,1,https://pbs.twimg.com/media/ErklMEZW4AI77wX.jpg,,,,,,,[],,,,
1349115909957427202,1349115909957427202,2021-01-12 23:07:52 CET,2021-01-12,23:07:52,+0100,899671109393682432,austinfc,Austin FC,,"Love you, Austin. 💚",en,[],[],[],0,12,104,[],[],https://twitter.com/AustinFC/status/1349115909957427202,False,https://twitter.com/4ATXFoundation/status/1349110344057282561,0,,,,,,,,[],,,,
1348805995863158787,1348731639124398081,2021-01-12 02:36:23 CET,2021-01-12,02:36:23,+0100,899671109393682432,austinfc,Austin FC,,@BobBallouSports The talent here is elite. 💚,en,[],[],[],0,0,5,[],[],https://twitter.com/AustinFC/status/1348805995863158787,False,,0,,,,,,,,"[{'screen_name': 'BobBallouSports', 'name': 'Bob Ballou', 'id': '19347013'}]",,,,
