created date,Highest Temperature,Lowest Temperature,Day Average Temperature,Precipitation,Max Wind Speed
13/01/2021,17.78,-2.22,4.68,0.0,19.31
12/01/2021,10.0,-3.33,3.22,0.0,16.09
09/01/2021,12.22,-2.78,5.63,0.0,22.53
06/01/2021,20.56,11.11,16.75,0.0,28.96
05/01/2021,21.67,6.67,15.02,0.0,24.13
03/01/2021,20.56,0.56,10.88,0.0,27.35
02/01/2021,17.78,0.56,8.41,0.0,19.31
01/01/2021,11.67,1.11,5.63,34.04,25.74
31/12/2020,7.22,3.33,5.21,34.54,33.79
30/12/2020,22.78,7.22,16.09,0.51,49.88
28/12/2020,25.0,8.89,17.79,0.0,25.74
26/12/2020,21.11,-1.11,11.16,0.0,32.18
24/12/2020,13.89,2.78,7.29,0.0,46.66
23/12/2020,26.11,8.89,18.86,0.0,40.23
22/12/2020,23.33,2.78,13.31,0.0,25.74
21/12/2020,24.44,1.11,9.88,0.0,14.48
20/12/2020,21.11,1.67,9.93,38.1,14.48
19/12/2020,20.0,4.44,14.44,3.05,20.92
18/12/2020,18.33,-2.78,10.49,0.0,22.53
17/12/2020,17.78,-3.33,5.88,0.0,14.48
16/12/2020,12.78,-0.56,6.18,0.0,22.53
14/12/2020,10.56,1.11,5.14,0.0,35.4
13/12/2020,20.0,6.11,12.15,0.0,38.62
12/12/2020,17.22,8.33,11.96,1.27,22.53
11/12/2020,25.0,9.44,17.89,0.0,14.48
10/12/2020,26.67,7.22,18.19,0.0,32.18
09/12/2020,27.78,6.11,15.67,0.0,14.48
08/12/2020,26.11,3.33,13.33,0.0,11.26
04/12/2020,15.0,1.11,6.98,0.0,19.31
03/12/2020,14.44,3.33,8.45,0.0,28.96
02/12/2020,18.89,3.89,10.93,0.0,28.96
01/12/2020,17.78,-5.56,6.34,0.0,27.35
30/11/2020,13.89,0.0,6.92,0.0,33.79
29/11/2020,13.89,8.89,11.07,19.81,33.79
26/11/2020,25.0,5.0,15.93,0.0,22.53
25/11/2020,22.78,7.22,16.99,0.25,25.74
24/11/2020,29.44,16.67,21.88,0.0,35.4
